RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Norman Powell,Tor,G,26.71,38,28.2,58.8,20.9,10.9,100,0.84,229,0.581,192,0.401,0.59,0.625,15.3,3.8,7.2,1.7,9.2,1.26,0.37,1.5,6.6,114.9,102.4
,Taurean Prince,Bro,F,25.89,51,29.7,61.8,20.1,14,65,0.785,246,0.435,351,0.353,0.491,0.509,12.5,6.3,10.9,2,10.2,0.94,0.39,2,7.3,95.9,102.1
,Julius Randle,Nyk,C-F,25.2,52,32.8,68.2,27.6,14.4,278,0.712,620,0.518,205,0.263,0.487,0.529,19.3,9.6,15.5,3.3,16.6,0.83,0.33,3.08,10.4,102.3,105.2
,Josh Reaves,Dal,G-F,22.69,2,0.8,1.6,28.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Cam Reddish,Atl,F-G,20.44,46,26,54.2,18.3,14,90,0.789,227,0.383,188,0.309,0.419,0.461,9.1,3.8,7.8,1.5,8.4,1.02,0.48,1.61,5.7,89.2,109.3
,JJ Redick,Nor,G,35.63,48,27.2,56.7,19.8,9.2,150,0.893,194,0.448,314,0.459,0.596,0.645,15.4,2.7,5.2,2,10.4,0.35,0.19,1.21,6.4,122.8,112.7
,Naz Reid,Min,C-F,20.46,17,10.8,22.6,28.5,8.7,14,0.643,52,0.462,58,0.362,0.505,0.517,7.1,2.5,12.2,0.8,13.2,0.29,0.47,0.65,9,102.2,93
,Josh Richardson,Phi,G,26.4,40,30.8,64.2,21.8,13.6,114,0.798,304,0.497,184,0.332,0.497,0.535,14.4,3.2,5.7,3.3,15.9,0.95,0.6,2.13,6.9,103.1,103.4
,Austin Rivers,Hou,G,27.52,49,23.7,49.4,15.1,7,77,0.688,168,0.5,196,0.342,0.507,0.53,8.6,2.4,5.4,1.6,9.1,0.67,0.2,0.61,5.4,110.6,107.5
,Glenn Robinson III,Gol,F,26.09,48,31.6,65.8,16.5,8.7,74,0.851,336,0.524,170,0.4,0.549,0.575,12.9,4.7,7.9,1.8,8.8,0.94,0.29,1.06,6,112.3,112.3
,Duncan Robinson,Mia,F,25.8,51,28.8,59.9,15.3,7.7,44,0.886,55,0.6,395,0.441,0.653,0.668,12.3,3.3,6.4,1.3,6.7,0.51,0.25,0.76,5.2,122.7,103.2
,Jerome Robinson,Lac,G,22.97,42,11.3,23.6,14.8,15.3,19,0.579,69,0.391,67,0.284,0.408,0.423,2.9,1.4,6.5,1.1,12.6,0.31,0.19,0.62,5.8,87.2,99.7
,Justin Robinson,Was,G,22.33,9,5.4,11.3,12.8,20,0,0,7,0.286,5,0.6,0.542,0.542,1.4,0.6,5.6,0.8,18.5,0,0.11,0.33,6.5,105.2,119.6
,Mitchell Robinson,Nyk,C-F,21.86,50,22.7,47.3,13.1,9.4,113,0.593,268,0.728,0,0,0.728,0.719,9.1,6.7,15.5,0.5,3.7,0.9,1.86,0.66,5.5,138.7,98.8
,Isaiah Roby,Okc,F,22.02,1,1.5,3.1,29.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Rajon Rondo,Lal,G,33.97,36,21,43.8,19.4,21.9,31,0.742,159,0.465,99,0.333,0.479,0.497,7.5,3.4,8.8,5.4,34,0.78,0.06,2.11,9.8,102.4,104.8
,Derrick Rose,Det,G,31.35,44,26.4,55.1,31,13,128,0.859,536,0.543,130,0.315,0.529,0.564,18.5,2.5,5.4,5.8,40.9,0.8,0.32,2.45,9.8,111.6,113
,Terrence Ross,Orl,G-F,29.01,51,26.5,55.2,22.5,7,129,0.837,246,0.484,348,0.322,0.483,0.524,13.4,3.1,6.2,1.1,6.7,1.06,0.33,0.96,5.4,102.5,105.6
,Terry Rozier,Cha,G,25.9,52,34.2,71.3,24.1,12.7,166,0.861,427,0.445,354,0.387,0.506,0.547,18,4.5,7.2,4.1,20.5,1.04,0.19,2.38,8.1,106.7,110.9
,Ricky Rubio,Pho,G,29.31,45,31.6,65.9,19.9,17.6,138,0.826,344,0.43,146,0.329,0.449,0.503,12.3,4.4,7.7,8.6,38.4,1.36,0.2,2.62,9.8,107.8,105.9
,D'Angelo Russell,Gol,G,23.96,33,32.1,66.9,32.1,12.6,144,0.785,314,0.487,321,0.374,0.524,0.558,23.6,3.7,6.2,6.2,36.1,0.91,0.27,3.06,10.2,106.4,111.8
,Domantas Sabonis,Ind,F-C,23.77,50,34.6,72.1,23.3,15.5,234,0.726,618,0.568,53,0.245,0.552,0.589,18.2,12.6,20.2,4.7,20.6,0.7,0.54,2.84,11.9,114.5,98.6
,JaKarr Sampson,Ind,F,26.89,18,13.8,28.8,12.3,8.6,10,0.4,48,0.688,11,0.182,0.61,0.599,4.2,2.4,9.6,0.2,2.2,0.33,0.44,0.33,3.7,113.7,100
,Dario Saric,Pho,F,25.84,48,24.8,51.6,17.1,12.3,68,0.853,206,0.558,185,0.314,0.517,0.549,9.6,6,13.3,1.9,10.8,0.63,0.25,1.23,7.7,108.7,104.3
,Tomas Satoransky,Chi,G,28.28,54,28.6,59.6,16.6,17.3,103,0.883,282,0.504,169,0.337,0.504,0.55,10.1,3.7,7,5.3,27.1,1.31,0.13,1.93,8.2,112,107
,Admiral Schofield,Was,G-F,22.87,26,11.2,23.4,12.3,8.1,13,0.692,28,0.571,46,0.304,0.5,0.521,3.2,1.3,6.3,0.5,6.2,0.31,0.12,0.27,4.6,106.1,107
,Dennis Schroder,Okc,G,26.4,52,31.2,65,27.3,13.5,176,0.835,517,0.52,276,0.388,0.542,0.578,19.3,3.9,6.9,4.1,21.9,0.67,0.25,2.62,8.7,108,105.2
,Mike Scott,Phi,F,31.57,54,17.4,36.3,14,6.6,27,0.889,95,0.505,178,0.343,0.511,0.532,5.6,3.5,10.9,0.6,4.5,0.31,0.07,0.37,5.2,109.9,104.4
,Thabo Sefolosha,Hou,F-G,35.77,37,10.8,22.5,10.3,12.9,6,0.167,34,0.647,51,0.294,0.524,0.513,2.4,2.4,11.6,0.6,7.5,0.51,0.3,0.35,5.6,107.8,101.6
,Collin Sexton,Cle,G,21.1,53,32.2,67,26.9,10.6,197,0.858,682,0.487,193,0.368,0.501,0.544,19.7,3.2,5.5,2.6,13.9,1,0.13,2.15,6.8,106.8,113.6
,Landry Shamet,Lac,G,22.91,36,28.5,59.4,13.2,8.2,44,0.909,69,0.507,212,0.401,0.578,0.608,10.1,2.1,3.8,1.9,9.1,0.42,0.22,0.75,4.8,120.3,103
,Marial Shayok,Phi,G-F,24.54,2,5.2,10.7,25.1,16.7,0,0,2,0,3,0.333,0.3,0.3,1.5,1.5,16,0.5,13,0,0,0.5,8,61.1,109.9
,Iman Shumpert,Bro,G,29.63,13,18.5,38.6,13.4,13,7,0.571,31,0.419,33,0.242,0.391,0.403,4.2,2.6,7.3,0.9,6.7,0.92,0.15,0.77,4.6,84.9,102.6
,Pascal Siakam,Tor,F,25.86,42,34.9,72.6,29.2,10.1,208,0.803,560,0.498,243,0.354,0.508,0.549,23.4,7.6,11.4,3.4,16.5,0.98,0.9,2.4,9.7,107,100.2
,Chris Silva,Mia,F,23.39,35,7.9,16.4,17.4,27.6,45,0.689,57,0.684,2,0,0.661,0.692,3.1,2.9,20.3,0.5,8.7,0.23,0.49,0.86,8.4,119.4,82.5
,Ben Simmons,Phi,F,23.56,52,36.2,75.4,20.7,20.8,279,0.627,588,0.587,6,0.333,0.586,0.608,16.8,7.9,12,8.3,34.8,2.21,0.6,3.62,11.4,115.6,98.9
,Anfernee Simons,Por,G,20.67,53,22.1,46.1,18.7,9.9,72,0.806,257,0.471,177,0.322,0.476,0.506,8.9,2.4,5.6,1.5,9.3,0.32,0.17,0.96,5.7,101.5,110.8
,Alen Smailagic,Gol,F,19.48,10,10.6,22.2,18.5,13,14,0.786,23,0.696,11,0.273,0.603,0.647,5.2,2.3,11.6,0.9,13.7,0.2,0.4,0.6,8.3,121.6,106.3
,Marcus Smart,Bos,G,25.93,41,31.3,65.1,18.2,11.7,87,0.839,183,0.421,260,0.35,0.482,0.519,12.2,3.5,6.1,4.8,21,1.56,0.49,1.56,7.5,110.6,102.4
,Dennis Smith Jr.,Nyk,G,22.21,29,15.8,32.9,22.1,19.6,46,0.478,124,0.355,48,0.292,0.378,0.395,5.2,2.3,7.6,2.9,26.5,0.62,0.28,1.62,8.3,84,103.9
,Ish Smith,Was,G,31.6,51,26.3,54.9,18.6,11.1,64,0.672,379,0.491,128,0.359,0.503,0.517,10.8,3.1,6.4,4.7,25,0.84,0.39,1.31,8.2,109.2,115.7
,Zhaire Smith,Phi,G,20.69,7,4.6,9.6,19.7,13.6,4,0.5,8,0.375,3,0,0.273,0.313,1.1,0.3,3.4,0.3,8.3,0.43,0,0.29,4,64.5,95.6
,Tony Snell,Det,G,28.25,48,27.2,56.7,11.5,6.9,21,1,102,0.529,211,0.408,0.585,0.6,8.1,1.8,3.6,1.8,9.1,0.46,0.23,0.5,4.4,119.9,112.2
,Omari Spellman,Gol,F,22.56,49,18.1,37.7,18.7,13.6,92,0.793,185,0.454,110,0.391,0.503,0.551,7.6,4.4,13.2,1,8.1,0.67,0.49,1.08,7.1,106.7,108.5
,Max Strus,Chi,G-F,23.87,2,3.1,6.5,23.7,0,1,1,2,1,1,0,0.667,0.727,2.5,0.5,8.8,0,0,0,0,0,0,,
,Edmond Sumner,Ind,G,24.11,20,13.4,27.9,16.4,14,13,0.615,54,0.5,26,0.308,0.488,0.502,4.3,1.4,5.8,1.4,14.1,0.65,0.3,0.7,6.1,99.9,102
,Caleb Swanigan,Sac,F,22.81,7,3.3,6.8,20.8,55.1,2,0.5,4,0.5,0,0,0.5,0.512,0.7,1,17.4,0.3,11.9,0.14,0.29,0.86,7.2,,
