RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven Adams,Okc,C,26.56,47,26.9,55.9,17.1,14.5,145,0.586,353,0.592,2,0,0.589,0.601,10.7,9.2,19,2.6,14.6,0.64,1.11,1.51,9.4,122.6,102
,Bam Adebayo,Mia,C-F,22.57,52,34.7,72.3,20,17.4,265,0.687,549,0.59,11,0.091,0.581,0.616,16,10.4,16.8,4.9,22.3,1.17,1.19,2.75,10.8,118.8,102.1
,LaMarcus Aldridge,San,F-C,34.56,48,33.1,68.9,22.9,7.9,169,0.834,565,0.522,134,0.41,0.54,0.579,18.7,7.5,12.1,2.4,11,0.63,1.69,1.38,8.4,116.3,108.7
,Nickeil Alexander-Walker,Nor,G,21.44,40,12.5,25.9,22.9,14.4,28,0.607,108,0.343,117,0.342,0.431,0.445,5.3,2,8.3,1.9,20.8,0.28,0.18,1,8.7,91.1,107.3
,Grayson Allen,Mem,G,24.34,30,16.6,34.6,18,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.2,109.6
,Jarrett Allen,Bro,C,21.81,51,26.9,55.9,14.9,12.1,196,0.628,337,0.653,5,0,0.643,0.657,11,9.6,18.4,1.4,7.8,0.65,1.45,1.16,7.9,129,99.7
,Kadeem Allen,Nyk,G,27.07,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27.4,0.5,0.2,0.8,7.2,105.4,111.4
,Al-Farouq Aminu,Orl,F,29.39,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.2,1.2,7.6,1,0.44,0.94,5.6,87.5,101.8
,Justin Anderson,Bro,F-G,26.23,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50,101.7
,Kyle Anderson,Mem,F-G,26.39,47,17.9,37.3,13.5,14.7,54,0.648,169,0.562,40,0.2,0.512,0.535,5.3,4,12,2.2,15.7,0.72,0.49,0.85,8,110.5,105.3
,Ryan Anderson,Hou,F,31.76,2,7,14.6,23.5,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.1,1,20.1,0.5,0,0.5,11.8,78.3,94.5
,Giannis Antetokounmpo,Mil,F,25.18,48,30.9,64.3,37.8,13,500,0.614,730,0.625,233,0.313,0.587,0.608,30,13.5,21.4,5.8,33.8,1.1,1.06,3.67,17.2,116.4,89.6
,Kostas Antetokounmpo,Lal,F,22.22,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,22,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.57,15,4.1,8.5,21.6,15.6,9,0.444,20,0.65,3,0,0.565,0.556,2,0.5,5.6,0.4,14,0.13,0.07,0.33,7.2,107.2,93.6
,Carmelo Anthony,Por,F,35.7,38,32.6,67.9,21.8,10.5,98,0.837,377,0.44,148,0.372,0.473,0.51,15.2,6.6,10.4,1.6,6.9,0.82,0.47,1.76,6.7,100.6,107.5
,OG Anunoby,Tor,F,22.57,52,29,60.3,14.7,12,63,0.651,248,0.581,177,0.367,0.568,0.579,10.1,5.3,9.6,1.5,7.5,1.17,0.63,1.19,6,109.7,100.2
,Ryan Arcidiacono,Chi,G,25.88,50,14.9,31.1,12.3,12.6,28,0.714,66,0.409,109,0.413,0.54,0.558,4.2,1.7,6.2,1.6,14.7,0.4,0.06,0.54,6,113,104.2
,Trevor Ariza,Sac,F,34.61,32,24.7,51.5,11.3,13.7,27,0.778,43,0.488,122,0.352,0.518,0.543,6,4.6,10.4,1.6,8.5,1.09,0.25,0.88,5.7,107.6,105.1
,Trevor Ariza,Por,F,34.61,9,31.6,65.8,12.2,11,13,0.923,37,0.595,30,0.4,0.597,0.633,10.2,4.6,7.4,1.9,8,1.56,0.22,1,5.7,122.5,108.4
,D.J. Augustin,Orl,G,32.25,39,26,54.1,18.8,12.4,130,0.877,190,0.426,136,0.346,0.465,0.544,10.7,2.4,5,4.7,27.4,0.67,0.03,1.38,7.6,113.9,108.6
,Deandre Ayton,Pho,C,21.55,23,33.1,68.9,23.8,10.3,56,0.804,356,0.542,2,0,0.539,0.563,18.7,12,20,2.2,11.1,0.74,1.61,1.91,9.6,111.8,102.3
,Dwayne Bacon,Cha,G-F,24.45,38,17.7,36.9,19.5,12,53,0.66,174,0.379,67,0.284,0.392,0.424,5.9,2.5,7.7,1.3,11.7,0.61,0.05,0.95,6,86.9,108.6
,Marvin Bagley III,Sac,F,20.91,13,25.7,53.5,26,9.1,31,0.806,145,0.51,22,0.182,0.479,0.512,14.2,7.5,16.4,0.8,5.1,0.46,0.92,1.38,6.8,102.1,99.9
,Lonzo Ball,Nor,G,22.29,45,31.9,66.4,18.8,19.9,52,0.558,212,0.448,291,0.361,0.502,0.508,11.9,6.1,10,6.6,28.5,1.33,0.42,2.91,9.8,102.7,109.2
,Mo Bamba,Orl,C,21.75,49,15,31.2,16.9,13.7,32,0.688,148,0.541,84,0.333,0.526,0.54,5.4,5,17.7,0.6,6.6,0.37,1.43,0.8,6.7,105.8,95.5
,J.J. Barea,Dal,G,35.62,16,15.5,32.2,25.1,13.8,10,1,73,0.452,48,0.458,0.545,0.566,8.9,1.9,6.5,3.6,36.3,0.19,0.06,1.25,10.2,116.9,111.9
,Harrison Barnes,Sac,F,27.7,52,34.7,72.3,17.7,8.6,208,0.798,393,0.496,186,0.355,0.508,0.562,14.5,4.9,8,2.2,9.3,0.56,0.15,1.21,6.2,113.8,113.5
,RJ Barrett,Nyk,F-G,19.66,44,30.5,63.6,23.2,12.6,197,0.599,407,0.413,147,0.327,0.433,0.467,13.6,5.1,8.9,2.5,12.3,0.95,0.36,2.09,7.3,93.3,108.6
,Will Barton,Den,G,29.09,48,33.3,69.3,19.9,9.1,115,0.765,390,0.485,228,0.382,0.517,0.544,15.1,6.5,10.7,3.7,16.4,1.1,0.5,1.4,8.6,113.1,105.2
,Keita Bates-Diop,Min,F,24.05,37,17.5,36.4,15.9,5.6,65,0.708,112,0.5,94,0.33,0.498,0.535,6.8,3,8.9,0.8,6.8,0.46,0.54,0.38,5.8,111.5,109.7
,Keita Bates-Diop,Den,F,24.05,1,14.1,29.4,5.8,0,2,1,1,1,0,0,1,1.064,4,2,7.8,0,0,0,0,0,0,227.5,98.6
,Nicolas Batum,Cha,G-F,31.15,22,23,47.8,9.3,20.5,10,0.9,32,0.438,49,0.286,0.432,0.463,3.6,4.5,10.7,3,17.9,0.77,0.36,1,6.3,105.6,107.4
,Aron Baynes,Pho,C-F,33.17,33,22.9,47.7,20.5,10.7,61,0.721,173,0.601,126,0.333,0.559,0.58,11.5,5.8,14.1,1.9,12.5,0.18,0.58,1.18,8.8,113.6,98.5
,Kent Bazemore,Por,G-F,30.61,43,25.8,53.8,15.9,14.4,72,0.806,155,0.368,171,0.327,0.433,0.475,7.9,4,8,1.4,7.2,1.05,0.72,1.4,5.5,91.7,105.2
,Kent Bazemore,Sac,G-F,30.61,9,20.1,41.9,20.7,12.8,27,0.667,38,0.421,25,0.32,0.444,0.494,8.2,3.8,10.6,1,7.2,1.11,0.33,1.22,6.3,97.1,99.3
,Darius Bazley,Okc,F-G,19.66,53,17.2,35.7,14.1,13.8,47,0.681,130,0.446,100,0.3,0.448,0.475,4.5,3.7,11.9,0.5,4.4,0.38,0.66,0.75,4.7,90.3,105.2
,Bradley Beal,Was,G,26.62,44,35.6,74.2,33.4,11.2,351,0.843,618,0.524,347,0.323,0.51,0.572,29.1,4.5,6.8,6.3,29.1,1.05,0.39,3.2,10.5,113.2,115.2
,Malik Beasley,Den,G,23.2,41,18.2,37.9,20.5,10.2,38,0.868,140,0.421,161,0.36,0.485,0.511,7.9,1.9,5.7,1.2,9.2,0.76,0.15,0.88,5.8,99.8,105.8
,Malik Beasley,Min,G,23.2,1,28.9,60.2,28.6,5,0,0,6,0.167,13,0.538,0.605,0.605,23,10,18.1,4,25.4,1,0,1,13.5,123.4,96.9
,Marco Belinelli,San,G,33.88,45,15,31.3,17.1,5.2,41,0.78,107,0.402,128,0.359,0.477,0.506,5.7,1.7,5.9,1.3,11.8,0.18,0,0.31,6.2,106.2,112.9
,Jordan Bell,Min,F,25.09,27,8.7,18.1,16,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.6,0.5,8.7,0.07,0.37,0.67,7.6,107.5,106.9
,DeAndre' Bembry,Atl,G-F,25.6,43,21.3,44.4,14,19.4,48,0.542,163,0.546,65,0.231,0.489,0.5,5.8,3.5,8.9,1.9,12.4,1.28,0.44,1.4,6.3,94.5,107.2
,Dragan Bender,Mil,F,22.23,7,13,27,12.4,18.3,3,0.667,12,0.5,9,0.444,0.571,0.582,3.7,2.9,10.8,1.3,12.3,0,0.71,0.71,7.4,105.1,87.4
,Davis Bertans,Was,F,27.24,42,29.4,61.3,18.2,7.2,83,0.867,115,0.461,353,0.431,0.6,0.628,15.1,4.7,8.7,1.8,8.6,0.71,0.64,0.93,6.9,122.2,111.9
,Patrick Beverley,Lac,G,31.58,40,28,58.4,13.3,14.9,38,0.632,115,0.53,176,0.364,0.54,0.549,8.5,5.8,10.6,4,18.8,1.23,0.63,1.35,8.3,114.7,97.7
,Khem Birch,Orl,C,27.37,37,20.5,42.8,9.2,14.3,67,0.612,107,0.486,1,0,0.481,0.527,3.9,4.8,12.2,0.9,6.4,0.43,0.54,0.62,5,114.2,101.9
,Goga Bitadze,Ind,C-F,20.56,42,8.6,17.9,17.2,14.2,29,0.69,83,0.578,25,0.16,0.5,0.53,3,2,13,0.5,7.2,0.07,0.64,0.48,6.7,101.9,97.5
,Bismack Biyombo,Cha,C,27.45,44,19.1,39.8,16.9,12,123,0.618,232,0.534,0,0,0.534,0.566,7.4,5.8,16.5,0.8,7,0.2,0.82,0.89,6.8,114.7,103.9
,Nemanja Bjelica,Sac,F,31.75,52,28.4,59.3,17.7,12.9,56,0.857,258,0.523,239,0.448,0.595,0.612,12.3,6.3,12.5,2.8,15,0.88,0.6,1.48,8.5,118.9,102.5
,Eric Bledsoe,Mil,G,30.17,44,27,56.2,24.1,14.8,150,0.82,368,0.538,158,0.335,0.528,0.573,15.4,4.7,8.6,5.3,28,0.91,0.5,2.34,10.8,112.8,97.2
,Bojan Bogdanovic,Uta,F,30.81,51,33.2,69.2,25.9,13.1,225,0.898,391,0.481,384,0.424,0.558,0.61,20.9,4.1,6.7,2.1,10,0.59,0.12,2.59,6.8,111.3,107
,Bogdan Bogdanovic,Sac,G,27.48,41,28.2,58.7,23,12.2,80,0.688,211,0.512,288,0.378,0.544,0.56,14.6,3.1,6.2,3.2,17.6,0.98,0.24,1.8,7.4,107.1,108.1
,Jonah Bolden,Phi,F,24.1,4,3.6,7.4,17.7,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.8,0,0,0.25,0,0.5,0,,
,Marques Bolden,Cle,C,21.82,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,2,39.5,0,0,1,0,0,0,,
,Jordan Bone,Det,G,22.26,9,5.3,11.1,17.2,10.5,0,0,9,0.333,8,0,0.176,0.176,0.7,0.1,1.2,0.9,21.9,0.11,0,0.22,3,57.6,105.9
,Isaac Bonga,Was,G,20.26,46,17.8,37,10.2,15.4,55,0.782,106,0.575,40,0.375,0.572,0.617,4.6,3.2,9.8,1.1,7.6,0.67,0.33,0.67,5.7,121,106.3
,Devin Booker,Pho,G,23.28,50,35.9,74.9,29.6,15.6,361,0.92,630,0.562,270,0.367,0.558,0.631,26.7,4.2,6.4,6.3,29.5,0.72,0.24,3.9,9.9,115.9,107.1
,Chris Boucher,Tor,F-C,27.08,45,13,27.1,20,7,89,0.775,137,0.562,78,0.282,0.512,0.569,6.4,4.4,17.7,0.4,5.1,0.4,0.93,0.42,6.9,121.9,92.3
,Brian Bowen II,Ind,F-G,21.36,3,3.2,6.7,18.2,0,0,0,3,0.333,1,0,0.25,0.25,0.7,0.3,5.7,0,0,0,0.33,0,0,,
,Ky Bowman,Gol,G,22.65,38,22.5,46.9,16.8,15.7,35,0.829,178,0.438,92,0.337,0.461,0.487,7.3,2.5,5.9,3.1,20.3,0.97,0.16,1.39,6.8,97.2,107
,Avery Bradley,Lal,G,29.21,37,23.2,48.2,16,11.1,18,0.833,171,0.52,110,0.355,0.525,0.536,8.4,2.3,5.5,1.2,6.7,0.81,0.08,0.97,4.9,102.7,101.6
,Tony Bradley,Uta,C-F,22,39,10.2,21.2,16.5,12.7,31,0.613,117,0.632,0,0,0.632,0.639,4.3,4.2,22.2,0.3,3.9,0.26,0.38,0.49,6.9,127,87.3
,Jarrell Brantley,Uta,F,23.67,3,3.7,7.8,3.9,100,0,0,0,0,0,0,,,0,1.7,24.2,0.3,10.7,0,0.67,0.33,0,,
,Ignas Brazdeikis,Nyk,F,21.09,9,5.9,12.3,20.8,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,5,0.4,10.6,0,0.11,0.22,5.2,81.7,114.7
,Miles Bridges,Cha,F,21.89,52,30.6,63.7,19.3,11.3,95,0.789,348,0.509,231,0.342,0.51,0.536,12.8,5.6,9.9,1.7,9.2,0.62,0.73,1.52,6.5,104.3,109.8
,Mikal Bridges,Pho,F,23.45,53,25.5,53.1,12.3,12.7,87,0.816,195,0.605,109,0.321,0.561,0.602,7.8,3.9,8.5,1.6,8.5,1.47,0.55,0.94,5.7,115.7,104.4
,Oshae Brissett,Tor,F-G,21.64,17,7.5,15.7,14.9,15.7,8,0.75,19,0.474,15,0.2,0.397,0.44,1.9,1.4,9.4,0.3,5.2,0.24,0.06,0.41,4.9,90.9,95.7
,Ryan Broekhoff,Dal,G-F,29.47,17,10.6,22.1,16.3,8.8,8,0.875,8,0.25,51,0.392,0.542,0.568,4.2,2.5,12.5,0.6,8.3,0.29,0.24,0.35,7,115.1,103.3
,Malcolm Brogdon,Ind,G,27.16,39,30.7,63.9,25.9,14.1,135,0.904,380,0.487,165,0.333,0.491,0.544,16.8,4.7,8.5,7.3,35.5,0.69,0.21,2.54,10.8,110.8,107.3
,Dillon Brooks,Mem,G-F,24.05,53,28.4,59.2,24.4,9.9,145,0.834,447,0.438,282,0.383,0.491,0.528,15.8,3.4,6.4,2.1,10.5,0.96,0.42,1.64,6.8,102.7,102.9
,Charles Brown Jr.,Atl,G,22.02,10,4.1,8.4,24.8,12.4,5,1,10,0.3,9,0.333,0.395,0.472,2,0.4,5.3,0.2,7.3,0.2,0.2,0.3,5.3,92.9,112
,Troy Brown Jr.,Was,G-F,20.54,48,26.2,54.5,16.9,9.8,91,0.758,305,0.511,115,0.339,0.511,0.541,10.4,5.7,11.9,2.2,11.8,1.23,0.1,1.04,7.7,110.7,110.9
,Bruce Brown,Det,G-F,23.49,52,27.7,57.8,16,16.9,115,0.73,305,0.469,87,0.345,0.48,0.52,8.8,4.3,8.7,3.9,19.9,1.19,0.56,1.73,7.6,105.8,104.5
,Jaylen Brown,Bos,F-G,23.29,43,33.7,70.1,24.6,12.1,189,0.746,419,0.558,231,0.377,0.561,0.593,20.2,6.5,10.3,2.2,10.4,1.12,0.26,2.35,7.8,111,100.6
,Moses Brown,Por,C,20.33,7,3.3,6.8,25.4,21.8,4,0.5,9,0.444,0,0,0.444,0.465,1.4,1.6,24.7,0,0,0.14,0,0.43,0,,
,Sterling Brown,Mil,G-F,25,35,14.6,30.4,16.7,14.1,30,0.767,80,0.425,84,0.321,0.454,0.485,4.9,3.8,12.8,0.9,8.1,0.54,0.11,0.83,7,96.4,96
,Jalen Brunson,Dal,G,23.44,53,18.2,37.8,20.7,13.5,72,0.819,256,0.512,115,0.365,0.523,0.555,8.4,2.5,7.1,3.3,26.8,0.4,0.08,1.19,9,114.5,107.8
,Thomas Bryant,Was,C-F,22.53,29,25.5,53.1,18.6,12.4,75,0.747,213,0.638,44,0.341,0.617,0.643,12.9,7.4,15.8,2.2,12.8,0.34,0.9,1.41,9.3,123.4,110
,Reggie Bullock,Nyk,G-F,28.9,20,26,54.2,16.8,5.4,15,0.867,93,0.495,95,0.337,0.5,0.516,10.1,2.5,5.1,1.6,8.9,1.1,0,0.55,5.3,108.6,108.1
,Trey Burke,Phi,G,27.24,25,13.1,27.4,19.3,8.2,18,0.722,89,0.483,38,0.421,0.528,0.545,5.9,1.4,5.7,2.1,24.3,0.28,0.04,0.48,7.9,117.4,107
,Alec Burks,Gol,G,28.56,48,29,60.3,23.7,9.8,224,0.897,377,0.424,224,0.375,0.476,0.552,16.1,4.7,8.7,3.1,17.5,1.02,0.33,1.58,8.5,110.5,108.7
,Deonte Burton,Okc,G-F,26.03,30,8.5,17.6,18.6,8.4,12,0.5,54,0.5,39,0.179,0.403,0.412,2.7,1.3,8.5,0.3,5.7,0.1,0.3,0.3,4.8,83.5,101.9
,Jimmy Butler,Mia,F,30.41,44,34.4,71.8,25.2,11.4,412,0.837,477,0.497,110,0.255,0.475,0.588,20.5,6.7,10.9,6.3,28.5,1.77,0.55,2.25,11.1,123.5,106.4
,Bruno Caboclo,Mem,F,24.39,22,8.7,18.2,16.8,9.1,3,0.667,44,0.545,25,0.16,0.435,0.441,2.8,2,12.2,0.5,7,0.45,0.55,0.32,6.5,96.5,101.4
,Kentavious Caldwell-Pope,Lal,G,26.98,51,25.2,52.5,14.7,9.9,79,0.81,193,0.523,174,0.414,0.569,0.6,9.5,2.1,4.6,1.7,9.1,0.73,0.22,0.86,5.1,118.6,105.8
,Vlatko Cancar,Den,F,22.84,11,3.5,7.2,17.9,19,4,1,6,0.667,5,0.2,0.5,0.588,1.4,0.7,11.5,0.3,10.9,0.09,0.09,0.27,7.6,,
,Clint Capela,Hou,C,25.73,39,32.8,68.3,16,12.7,104,0.529,388,0.629,0,0,0.629,0.626,13.9,13.8,21.9,1.2,5.6,0.87,1.79,1.62,7.5,123.4,101.8
,DeMarre Carroll,San,F,33.54,15,9,18.8,15.3,20.9,20,0.6,16,0.375,13,0.231,0.362,0.437,2.2,2.1,12.3,0.7,10.2,0.13,0.13,0.67,6.6,88.1,100.5
,Wendell Carter Jr.,Chi,C-F,20.82,37,30,62.4,16.5,14.5,129,0.736,281,0.569,28,0.214,0.547,0.592,11.7,9.9,18,1.2,6,0.81,0.89,1.68,6.9,115.5,98.1
,Jevon Carter,Pho,G,24.41,38,14.2,29.6,13.7,14.9,16,0.813,65,0.369,76,0.395,0.489,0.51,4,1.9,7.3,1.4,12.9,0.74,0.29,0.68,6.2,102.3,103.5
,Vince Carter,Atl,G-F,43.04,47,15.4,32.2,16.9,10.1,29,0.793,84,0.488,169,0.278,0.441,0.463,5.2,2.2,7.8,0.9,8.6,0.4,0.51,0.64,5.7,92.7,108
,Michael Carter-Williams,Orl,G,28.34,30,17.8,37,18.4,12.5,56,0.768,126,0.484,46,0.261,0.459,0.511,6.7,2.9,8.7,2.6,22.7,1.1,0.47,0.93,8.3,108.7,99.8
,Alex Caruso,Lal,G,25.95,48,18.4,38.2,13.6,14.1,63,0.794,125,0.456,91,0.363,0.493,0.54,5.5,1.8,5.5,1.8,12.1,1.06,0.27,0.83,5.7,107.7,101.2
,Willie Cauley-Stein,Gol,C,26.48,42,22.7,47.3,14.3,10.9,57,0.614,261,0.559,0,0,0.559,0.572,7.8,6.1,14.5,1.5,10,1.14,1.19,0.83,7.3,114.3,102.7
,Willie Cauley-Stein,Dal,C,26.48,6,15,31.1,14,13.6,3,0.667,24,0.667,0,0,0.667,0.671,5.7,6,21,1,9.9,0.33,1.33,0.67,8.7,127.6,93.6
,Tyson Chandler,Hou,C,37.36,26,8.4,17.6,5.9,25.2,13,0.462,18,0.778,0,0,0.778,0.717,1.3,2.5,15.7,0.2,3.5,0.23,0.31,0.31,4.1,133.1,97.8
,Wilson Chandler,Bro,F,32.75,23,20.6,43,13.9,16.5,19,0.895,46,0.674,77,0.299,0.533,0.563,6.4,4.5,11.1,1.3,8.6,0.61,0.35,1.13,6.5,102.3,98.9
,Zylan Cheatham,Nor,F,24.23,3,10.2,21.3,10.7,37.5,0,0,4,0.5,1,0,0.4,0.4,1.3,2,10.3,0.7,8.1,0,0.33,1,4.8,66.8,100.4
,Chris Chiozza,Was,G,24.22,10,12.3,25.5,14.6,20.9,0,0,18,0.167,16,0.438,0.397,0.397,2.7,1.5,6.6,2.8,28.6,1,0.2,0.9,7.3,91.2,107.7
,Chris Chiozza,Bro,G,24.22,4,5.9,12.2,17.9,10,0,0,4,0.5,5,0.2,0.389,0.389,1.8,0.8,6.6,1.5,36.6,0.5,0,0.25,8.8,98.9,109.1
,Marquese Chriss,Gol,F,22.61,48,18.8,39.1,18.8,15.3,112,0.759,256,0.566,32,0.25,0.545,0.591,8.3,5.5,15.7,1.7,14.5,0.63,1.02,1.27,9.1,113.9,104.4
,Brandon Clarke,Mem,F-G,23.39,46,21.8,45.4,19,9.6,87,0.805,324,0.648,50,0.42,0.646,0.671,12,5.7,13.9,1.4,9.9,0.52,0.83,0.96,8.4,126.8,106.4
,Gary Clark,Hou,F,25.23,19,12.2,25.4,12.4,2.9,7,0.857,10,0.7,55,0.364,0.569,0.588,4.2,2.3,9.9,0.6,7,0.11,0.42,0.11,5.9,130.5,106.1
,Gary Clark,Orl,F,25.23,9,12.9,26.9,9.3,8,2,1,3,0.667,19,0.316,0.5,0.524,2.7,3.1,12.7,0.1,1.2,0.22,0.44,0.22,2.9,114,107
,Jordan Clarkson,Cle,G,27.67,29,23,47.8,25.8,9.7,86,0.884,167,0.509,159,0.371,0.532,0.581,14.6,2.4,5.7,2.4,17.2,0.59,0.28,1.34,7.6,115.7,115.5
,Jordan Clarkson,Uta,G,27.67,22,25.2,52.5,25.2,6.6,42,0.738,149,0.564,131,0.366,0.557,0.575,15.6,2.6,5.6,1.4,9,0.64,0.23,0.95,6.1,112,106.6
,Nicolas Claxton,Bro,F-C,20.82,14,13.1,27.3,14.4,14.2,19,0.474,39,0.641,7,0.143,0.576,0.57,4.4,3.1,12,1.1,12.7,0.07,0.57,0.64,7.5,116.2,105.5
,Chris Clemons,Hou,G,22.55,27,9.1,18.9,24.2,11.8,7,0.857,31,0.548,93,0.355,0.536,0.547,5.1,0.9,4.9,0.8,13.2,0.19,0.15,0.63,6.8,103.4,107.7
,Antonius Cleveland,Dal,G,26.03,6,3.7,7.8,15,12.7,2,0.5,5,0.4,1,0,0.333,0.363,0.8,0.5,7,0,0,0.17,0.17,0.17,0,,
,Amir Coffey,Lac,G-F,22.65,4,10.1,21,18.9,10.8,1,0,12,0.667,4,0.25,0.594,0.578,4.8,1.5,7.6,0.8,11.6,0.25,0.25,0.5,7.1,110.1,104.6
,John Collins,Atl,F,22.38,28,32.1,67,23.1,9.6,92,0.804,311,0.63,102,0.353,0.605,0.633,20.5,10.5,17.6,1.3,7,0.64,1.68,1.71,8.2,119.2,103.7
,Zach Collins,Por,F-C,22.23,3,28.8,60,13.6,21.7,6,1,12,0.5,7,0.429,0.553,0.624,9,4,7.2,2,9.1,0,0.67,2,5.8,111.5,107.2
,Mike Conley,Uta,G,32.33,32,27.9,58.2,23.6,12.2,100,0.78,222,0.414,158,0.361,0.467,0.511,13.5,3.2,6.3,4.2,22.2,0.72,0.13,1.84,8.1,105.2,103.8
,Pat Connaughton,Mil,G,27.09,48,17.9,37.2,12.1,15.1,25,0.72,100,0.6,103,0.311,0.532,0.547,4.9,4.3,11.8,1.6,10.8,0.31,0.54,0.79,7.2,109.9,99.4
,Quinn Cook,Lal,G,26.89,33,11.6,24.1,20.5,12.4,9,0.667,100,0.48,58,0.397,0.522,0.528,5.2,1.2,5.5,1.1,13.7,0.3,0.03,0.7,6.6,101.6,107.2
,Tyler Cook,Cle,F,22.38,11,3.2,6.6,16.7,7.3,6,0.833,10,0.7,0,0,0.7,0.752,1.7,0.9,15.8,0.1,4.6,0.09,0,0.09,6.7,,
,Robert Covington,Min,F,29.16,48,29.4,61.2,17.9,12,94,0.798,184,0.587,312,0.346,0.544,0.572,12.8,6,10.6,1.2,5.9,1.67,0.94,1.52,6.1,105.8,101.7
,Robert Covington,Hou,F,29.16,3,29.8,62,16.1,11.4,0,0,7,0.714,24,0.375,0.597,0.597,12.3,6,10.5,1.3,6.4,1,1,1.33,6.1,115.2,101.2
,Allen Crabbe,Atl,G-F,27.84,28,18.6,38.8,12.7,7.5,12,0.75,50,0.44,93,0.323,0.469,0.482,5.1,2.3,6.6,1,7.4,0.54,0.14,0.43,4.9,99.8,112.2
,Allen Crabbe,Min,G-F,27.84,6,15.4,32.2,12,14.9,2,0.5,6,0.667,16,0.25,0.455,0.459,3.5,1.2,4,0.8,7.3,0,0,0.67,3.9,86.4,109.7
,Torrey Craig,Den,F,29.14,40,17.5,36.4,12,9.2,29,0.621,82,0.598,82,0.305,0.527,0.54,4.8,3.2,10,0.6,4.6,0.35,0.68,0.45,4.8,110.9,99.1
,Jae Crowder,Mem,F,29.6,45,29.4,61.2,15.6,10.9,95,0.789,133,0.519,266,0.293,0.466,0.507,9.9,6.2,11.1,2.8,12.1,1.04,0.31,1.2,7.6,104.8,107.6
,Jarrett Culver,Min,G-F,20.97,50,24.6,51.3,19.4,11.8,95,0.453,285,0.456,183,0.273,0.438,0.444,9.1,3.4,7.3,1.9,11.3,0.98,0.7,1.36,6.3,91.1,107.3
,Seth Curry,Dal,G,29.47,49,23.2,48.2,18.6,9.1,69,0.884,178,0.528,239,0.427,0.592,0.62,11.3,2.2,5,1.9,11.7,0.57,0.16,0.92,6.2,121.6,108.8
,Stephen Curry,Gol,G,31.91,4,28,58.4,33.8,16.9,18,1,29,0.621,37,0.243,0.477,0.548,20.3,5,9.6,6.5,41.9,1.25,0.5,3.75,12.4,104.6,106.6
,Troy Daniels,Lal,G,28.57,38,11.6,24.2,15.7,5.5,15,0.667,45,0.467,103,0.369,0.527,0.537,4.4,1.1,5.2,0.4,4.2,0.21,0.08,0.24,4.3,109.5,106.5
,Anthony Davis,Lal,F-C,26.92,44,34.6,72.1,29.1,10.1,358,0.858,639,0.565,146,0.315,0.548,0.619,26.5,9.2,14.6,3.3,15.1,1.57,2.41,2.41,10.8,122,100.6
,Ed Davis,Uta,F,30.68,25,10.7,22.3,8.5,25.1,11,0.455,34,0.412,0,0,0.412,0.425,1.3,3.8,19.2,0.3,3.8,0.4,0.36,0.52,4.3,97.6,85.5
,Terence Davis,Tor,G,22.74,53,17.4,36.3,18.4,13.4,40,0.9,142,0.563,184,0.429,0.609,0.63,8.2,3.6,10.8,1.8,15.4,0.57,0.21,1,8.6,118.4,98.8
